ADD_CLIENT,2019-04-18 17:12:18.758
LIST_PRODUCTLIST,2019-04-18 17:14:08.147
CLOSE_THE_REGISTER,2019-04-18 17:14:14.232
LIST_PRODUCTLIST,2019-05-18 16:18:42.714
REMOVE_PRODUCT_FROM_DB,2019-05-18 16:18:55.113
LIST_PRODUCTLIST,2019-05-18 16:18:56.75
REMOVE_PRODUCT_FROM_DB,2019-05-18 16:19:04.407
REMOVE_PRODUCT_FROM_DB,2019-05-18 16:19:06.636
LIST_PRODUCTLIST,2019-05-18 16:19:07.233
REMOVE_PRODUCT_FROM_DB,2019-05-18 16:19:13.762
REMOVE_PRODUCT_FROM_DB,2019-05-18 16:19:17.652
LIST_PRODUCTLIST,2019-05-18 16:19:19.182
EXPORT_DATABASE,2019-05-18 16:19:23.097
LIST_PRODUCTLIST,2019-05-18 16:19:24.438
ADD_CLIENT,2019-05-18 16:19:33.465
LIST_CLIENTS,2019-05-18 16:19:36.242
ACCES CLIENT 1,2019-05-18 16:19:41.955
SEE_CLIENT_PRODUCTS,2019-05-18 16:19:45.98
ADD_PRODUCT_TO_CLIENT,2019-05-18 16:19:53.453
SEE_CLIENT_PRODUCTS,2019-05-18 16:19:55.981
CLIENT_CASHOUT,2019-05-18 16:20:02.165
ACCES CLIENT 0,2019-05-18 16:20:11.576
LIST_CLIENTS,2019-05-18 16:20:17.768
LIST_PRODUCTLIST,2019-05-19 20:28:02.925,main
ADD_CLIENT,2019-05-19 20:28:10.404,main
LIST_CLIENTS,2019-05-19 20:28:14.137,main
LIST_PRODUCTLIST,2019-05-20 01:42:36.33,main
REMOVE_PRODUCT_FROM_DB,2019-05-20 01:42:44.249,main
LIST_PRODUCTLIST,2019-05-20 01:42:46.491,main
REMOVE_PRODUCT_FROM_DB,2019-05-20 01:42:55.743,main
REMOVE_PRODUCT_FROM_DB,2019-05-20 01:43:03.185,main
LIST_PRODUCTLIST,2019-05-20 01:43:05.553,main
REMOVE_PRODUCT_FROM_DB,2019-05-20 01:43:24.463,main
REMOVE_PRODUCT_FROM_DB,2019-05-20 01:43:34.42,main
LIST_PRODUCTLIST,2019-05-20 01:43:37.018,main
REMOVE_PRODUCT_FROM_DB,2019-05-20 01:43:51.163,main
LIST_PRODUCTLIST,2019-05-20 01:43:52.485,main
REMOVE_PRODUCT_FROM_DB,2019-05-20 01:43:57.167,main
REMOVE_PRODUCT_FROM_DB,2019-05-20 01:44:00.444,main
REMOVE_PRODUCT_FROM_DB,2019-05-20 01:44:04.611,main
LIST_PRODUCTLIST,2019-05-20 01:44:04.884,main
ADD_PRODUCT_TO_DB,2019-05-20 01:44:18.411,main
LIST_PRODUCTLIST,2019-05-20 01:44:24.372,main
ADD_PRODUCT_TO_DB,2019-05-20 01:46:21.961,main
LIST_PRODUCTLIST,2019-05-20 01:46:26.422,main
SEE_DAILY_HISTORY,2019-05-20 01:53:28.394,main
LIST_PRODUCTLIST,2019-05-20 01:53:32.072,main
ADD_PRODUCT_TO_DB,2019-05-20 01:54:11.896,main
LIST_PRODUCTLIST,2019-05-20 01:54:16.733,main
LIST_PRODUCTLIST,2019-05-20 02:20:19.257,main
LIST_PRODUCTLIST,2019-05-20 02:21:24.588,main
LIST_PRODUCTLIST,2019-05-20 02:21:37.597,main
ADD_CLIENT,2019-05-20 04:53:43.525,main
LIST_CLIENTS,2019-05-20 04:53:49.191,main
ACCES CLIENT 2,2019-05-20 04:53:53.444,main
LIST_CLIENTS,2019-05-20 04:53:58.009,main
ACCES CLIENT 1,2019-05-20 04:54:00.183,main
ADD_CLIENT,2019-05-20 04:55:42.032,main
LIST_CLIENTS,2019-05-20 04:55:44.3,main
ACCES CLIENT 1,2019-05-20 04:55:47.204,main
ADD_PRODUCT_TO_CLIENT,2019-05-20 04:55:56.986,main
SEE_CLIENT_PRODUCTS,2019-05-20 04:56:00.343,main
ADD_CLIENT,2019-05-20 04:57:50.204,main
ACCES CLIENT 1,2019-05-20 04:57:51.796,main
SEE_CLIENT_PRODUCTS,2019-05-20 04:57:54.035,main
ADD_PRODUCT_TO_CLIENT,2019-05-20 04:58:01.011,main
SEE_CLIENT_PRODUCTS,2019-05-20 04:58:03.428,main
LIST_CLIENTS,2019-05-20 05:05:33.091,main
ACCES CLIENT 1,2019-05-20 05:05:37.237,main
SEE_CLIENT_PRODUCTS,2019-05-20 05:05:43.378,main
LIST_CLIENTS,2019-05-20 05:12:27.095,main
ADD_CLIENT,2019-05-20 05:12:29.016,main
LIST_CLIENTS,2019-05-20 05:12:29.501,main
ACCES CLIENT 1,2019-05-20 05:12:31.7,main
SEE_CLIENT_PRODUCTS,2019-05-20 05:12:34.238,main
ADD_PRODUCT_TO_CLIENT,2019-05-20 05:12:39.635,main
SEE_CLIENT_PRODUCTS,2019-05-20 05:12:45.156,main
LIST_CLIENTS,2019-05-20 05:12:55.232,main
ACCES CLIENT 1,2019-05-20 05:13:02.249,main
SEE_CLIENT_PRODUCTS,2019-05-20 05:13:04.854,main
LIST_CLIENTS,2019-05-20 05:17:17.625,main
ACCES CLIENT 1,2019-05-20 05:17:19.569,main
SEE_CLIENT_PRODUCTS,2019-05-20 05:17:21.983,main
ADD_PRODUCT_TO_CLIENT,2019-05-20 05:17:28.74,main
SEE_CLIENT_PRODUCTS,2019-05-20 05:17:30.368,main
REMOVE_CLIENT_PRODUCT,2019-05-20 05:17:36.775,main
SEE_CLIENT_PRODUCTS,2019-05-20 05:17:41.187,main
LIST_CLIENTS,2019-05-20 05:26:09.48,main
ACCES CLIENT 1,2019-05-20 05:26:11.185,main
SEE_CLIENT_PRODUCTS,2019-05-20 05:26:13.856,main
ADD_PRODUCT_TO_CLIENT,2019-05-20 05:26:23.025,main
SEE_CLIENT_PRODUCTS,2019-05-20 05:26:26.806,main
LIST_CLIENTS,2019-05-20 05:28:55.281,main
ACCES CLIENT 1,2019-05-20 05:28:56.835,main
SEE_CLIENT_PRODUCTS,2019-05-20 05:28:58.525,main
ACCES CLIENT 1,2019-05-20 05:29:25.546,main
